CountryCode	10000m Men	100m Men	110m Hurdles Men	1500m Men	200m Men	400m Men	4x100m Relay Men	4x400m Relay Men	5000m Men	800m Men	Marathon Men	Eights Men	Single Sculls Men	100m Backstroke Men	100m Freestyle Men	100m Freestyle Women	1500m Freestyle Men	200m Breaststroke Men	400m Freestyle Men	4x100m Freestyle Relay Women	4x200m Freestyle Relay Men
USA	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
GBR	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1
DEU	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
ANZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
EST	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FIN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
